ICMP,Media,Condition,Replicate,Age,Size,Colour
16972,PDA,L,1,2,15,White
16972,PDA,L,1,4,17,White
16972,PDA,L,1,8,33,White
16972,PDA,L,1,16,70,White
16972,PDA,L,1,32,90,White
16972,PDA,L,1,64,90,White
16972,PDA,L,2,2,,White
16972,PDA,L,2,4,32,White
16972,PDA,L,2,8,39,White
16972,PDA,L,2,16,,White
16972,PDA,L,2,32,90,White
16972,PDA,L,2,64,90,White
16972,PDA,L,3,2,,White
16972,PDA,L,3,4,,White
16972,PDA,L,3,8,41,White
16972,PDA,L,3,16,,White
16972,PDA,L,3,32,90,White
16972,PDA,L,3,64,90,White
16972,PDA,D,1,2,10,White
16972,PDA,D,1,4,13,White
16972,PDA,D,1,8,33,White
16972,PDA,D,1,16,70,White
16972,PDA,D,1,32,90,White
16972,PDA,D,1,64,90,White
16972,PDA,D,2,2,14,White
16972,PDA,D,2,4,20,White
16972,PDA,D,2,8,36,White
16972,PDA,D,2,16,62,White
16972,PDA,D,2,32,90,White
16972,PDA,D,2,64,90,White
16972,PDA,D,3,2,,White
16972,PDA,D,3,4,27,White
16972,PDA,D,3,8,,White
16972,PDA,D,3,16,67,White
16972,PDA,D,3,32,90,White
16972,PDA,D,3,64,90,White
16972,MEA,L,1,2,10,White
16972,MEA,L,1,4,14,White
16972,MEA,L,1,8,47,White
16972,MEA,L,1,16,,White
16972,MEA,L,1,32,90,White
16972,MEA,L,1,64,90,White
16972,MEA,L,2,2,,White
16972,MEA,L,2,4,21,White
16972,MEA,L,2,8,38,White
16972,MEA,L,2,16,,White
16972,MEA,L,2,32,90,White
16972,MEA,L,2,64,90,White
16972,MEA,L,3,2,,White
16972,MEA,L,3,4,29,White
16972,MEA,L,3,8,38,White
16972,MEA,L,3,16,,White
16972,MEA,L,3,32,80,White
16972,MEA,L,3,64,90,White
16972,MEA,D,1,2,12,White
16972,MEA,D,1,4,18,White
16972,MEA,D,1,8,,White
16972,MEA,D,1,16,,White
16972,MEA,D,1,32,65,White
16972,MEA,D,1,64,90,White
16972,MEA,D,2,2,19,White
16972,MEA,D,2,4,26,White
16972,MEA,D,2,8,,White
16972,MEA,D,2,16,,White
16972,MEA,D,2,32,70,White
16972,MEA,D,2,64,90,White
16972,MEA,D,3,2,,White
16972,MEA,D,3,4,34,White
16972,MEA,D,3,8,,White
16972,MEA,D,3,16,,White
16972,MEA,D,3,32,,White
16972,MEA,D,3,64,,White
16972,WA,L,1,2,10,White
16972,WA,L,1,4,16,White
16972,WA,L,1,8,40,White
16972,WA,L,1,16,,White
16972,WA,L,1,32,90,White
16972,WA,L,1,64,90,White
16972,WA,L,2,2,,White
16972,WA,L,2,4,15,White
16972,WA,L,2,8,40,White
16972,WA,L,2,16,,White
16972,WA,L,2,32,50,White
16972,WA,L,2,64,90,White
16972,WA,L,3,2,,White
16972,WA,L,3,4,40,White
16972,WA,L,3,8,,White
16972,WA,L,3,16,,White
16972,WA,L,3,32,,White
16972,WA,L,3,64,,White
16972,WA,D,1,2,1,White
16972,WA,D,1,4,,White
16972,WA,D,1,8,15,White
16972,WA,D,1,16,,White
16972,WA,D,1,32,50,White
16972,WA,D,1,64,90,White
16972,WA,D,2,2,0,White
16972,WA,D,2,4,,White
16972,WA,D,2,8,41,White
16972,WA,D,2,16,,White
16972,WA,D,2,32,90,White
