ICMP,Media,Condition,TechRep,Age,SizeMM,Colour,Researcher,ICMPPhylum,TestedAgainst,Strain,ScreeningRound,BioRep,DaysOld,TimePoint,Lux,CtrlLux
477,PDA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,184,638
477,PDA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,172,638
477,PDA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,146,638
477,OA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,412,904
477,OA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,430,904
477,OA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,448,904
477,CSA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,146,654
477,CSA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,158,654
477,CSA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,150,654
477,MEA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,210,1228
477,MEA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,210,1228
477,MEA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,240,1228
477,REA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,550,730
477,REA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,698,730
477,REA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,528,730
477,CYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,382,484
477,CYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,312,484
477,CYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,376,484
477,MYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,324,1012
477,MYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,244,1012
477,MYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,236,1012
477,TYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,330,412
477,TYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,332,412
477,TYA,,0,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,338,412
477,PDA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,0,4862
477,PDA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,6,4862
477,PDA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,0,4862
477,OA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,2,12252
477,OA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,4,12252
477,OA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,0,12252
477,CSA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,0,5590
477,CSA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,2,5590
477,CSA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,4,5590
477,MEA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,2,4098
477,MEA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,16,4098
477,MEA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,22,4098
477,REA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,72,5570
477,REA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,116,5570
477,REA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,210,5570
477,CYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,74,2548
477,CYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,54,2548
477,CYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,38,2548
477,MYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,18,3930
477,MYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,16,3930
477,MYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,20,3930
477,TYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,48,6690
477,TYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,32,6690
477,TYA,,1,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,46,6690
477,PDA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,0,202266
477,PDA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,4,202266
477,PDA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,2,202266
477,OA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,0,54042
477,OA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,2,54042
477,OA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,0,54042
477,CSA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,2,30156
477,CSA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,4,30156
477,CSA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,2,30156
477,MEA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,2,98282
477,MEA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,26,98282
477,MEA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,34,98282
477,REA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,50,14859
477,REA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,72,14859
477,REA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,3,208,14859
477,CYA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,1,34,7596
477,CYA,,2,,,,Alex,Ascomycota,MA,NZRM4048 Lux,9,1,15,2,24,7596
