ICMP,TestedAgainst,Media,BioRep,Condition,TechRep,DaysOld,Size,ZOISize
17492,EC,REA,1,L,1,8,50,0
17492,EC,REA,1,D,1,36,100,0
17492,EC,REA,2,L,1,6,20,0
17492,EC,REA,2,D,1,14,,0
17492,EC,REA,3,L,1,15,,0
17492,EC,REA,3,D,1,14,,0
17492,EC,REA,4,L,1,,,
17492,EC,REA,4,D,1,7,50,0
17492,EC,OEA,1,L,1,24,,0
17492,EC,OEA,1,D,1,14,,0
17492,EC,OEA,2,L,1,6,20,0
17492,EC,OEA,2,D,1,,,0
17492,EC,OEA,3,L,1,8,50,0
17492,EC,OEA,3,D,1,8,50,0
,,,,,,,,
15652,KP,PDA,1,L,1,8,100,0
15652,KP,PDA,1,D,1,8,100,0
15652,KP,PDA,2,L,1,14,100,0
15652,KP,PDA,2,D,1,14,100,0
15652,KP,PDA,3,L,1,,100,0
15652,KP,PDA,3,D,1,,100,0
15652,KP,MEA,1,L,1,8,100,0
15652,KP,MEA,1,D,1,8,100,0
15652,KP,MEA,2,L,1,14,100,0
15652,KP,MEA,2,D,1,14,100,0
15652,KP,MEA,3,L,1,,100,0
15652,KP,MEA,3,D,1,,100,0
15652,KP,WA,1,L,1,8,100,0
15652,KP,WA,1,D,1,8,100,0
15652,KP,WA,2,L,1,14,100,0
15652,KP,WA,2,D,1,14,100,0
15652,KP,WA,3,L,1,,100,0
15652,KP,WA,3,D,1,,100,0
15652,KP,CEA,1,L,1,8,100,10
15652,KP,CEA,1,D,1,8,100,14
15652,KP,CEA,2,L,1,14,100,19
15652,KP,CEA,2,D,1,14,100,18
15652,KP,CEA,3,L,1,,100,0
15652,KP,CEA,3,D,1,,100,0
15652,KP,REA,1,L,1,8,100,0
15652,KP,REA,1,D,1,8,100,0
15652,KP,REA,2,L,1,14,100,0
15652,KP,REA,2,D,1,14,100,0
15652,KP,REA,3,L,1,,100,0
15652,KP,REA,3,D,1,,100,0
15652,KP,OEA,1,L,1,8,100,9
15652,KP,OEA,1,D,1,8,100,8
15652,KP,OEA,2,L,1,14,100,0
15652,KP,OEA,2,D,1,14,100,0
15652,KP,OEA,3,L,1,,100,
15652,KP,OEA,3,D,1,,100,
15652,EC,PDA,1,L,1,24,100,8
15652,EC,PDA,1,D,1,24,100,12
15652,EC,PDA,2,L,1,8,100,11
15652,EC,PDA,2,D,1,8,100,7
15652,EC,PDA,2,L,2,8,100,11
15652,EC,PDA,2,D,2,8,100,7
15652,EC,PDA,2,L,2,8,100,13
15652,EC,PDA,2,D,2,8,100,7
15652,EC,MEA,1,L,1,,100,0
15652,EC,MEA,1,D,1,,100,0
15652,EC,MEA,2,L,1,8,100,14
15652,EC,MEA,2,D,1,8,100,16
15652,EC,MEA,2,L,2,8,100,17
15652,EC,MEA,2,D,2,8,100,16
15652,EC,MEA,2,L,3,8,100,14
15652,EC,MEA,2,D,3,8,100,16
15652,EC,MEA,3,L,1,15,100,0
15652,EC,MEA,3,D,1,,,
15652,EC,MEA,3,L,2,15,100,0
15652,EC,MEA,3,D,1,,,
15652,EC,MEA,3,L,3,15,100,0
15652,EC,MEA,4,L,1,15,100,0
15652,EC,MEA,4,D,1,15,100,0
15652,EC,MEA,4,L,2,15,100,0
15652,EC,MEA,4,D,2,15,100,0
15652,EC,MEA,4,L,3,15,100,0
15652,EC,MEA,4,D,3,15,100,0
,,,,,,,,
21634,KP,PDA,1,L,1,12,100,7
21634,KP,PDA,1,D,1,14,100,0
21634,KP,PDA,2,L,1,5,20,0
21634,KP,PDA,2,D,1,15,75,0
21634,KP,PDA,3,L,1,,,0
21634,KP,PDA,3,D,1,,,
21634,KP,MEA,1,L,1,12,,0
21634,KP,MEA,1,D,1,30,100,0
21634,KP,MEA,2,L,1,6,20,0
21634,KP,MEA,2,D,1,14,100,0
21634,KP,MEA,3,L,1,6,20,0
21634,KP,MEA,3,D,1,4,20,0
21634,KP,WA,1,L,1,13,20,0
21634,KP,WA,1,D,1,14,100,0
21634,KP,WA,2,L,1,6,20,0
21634,KP,WA,2,D,1,,,0
21634,KP,WA,3,L,1,22,,0
21634,KP,WA,3,D,1,15,80,0
21634,KP,CEA,1,L,1,26,100,7
21634,KP,CEA,1,D,1,12,,7
21634,KP,CEA,2,L,1,26,100,12
21634,KP,CEA,2,D,1,14,100,15
21634,KP,CEA,3,L,1,,,
21634,KP,CEA,3,D,1,,,
21634,KP,REA,1,L,1,12,,0
21634,KP,REA,1,D,1,38,100,8
21634,KP,REA,2,L,1,6,20,8
21634,KP,REA,2,D,1,36,100,0
21634,KP,REA,3,L,1,15,100,0
21634,KP,REA,3,D,1,,,0
21634,KP,OEA,1,L,1,12,100,0
21634,KP,OEA,1,D,1,14,100,0
21634,KP,OEA,2,L,1,13,100,22
21634,KP,OEA,2,D,1,4,20,0
21634,KP,OEA,3,L,1,6,50,7
21634,KP,OEA,3,D,1,28,100,9
21634,KP,OEA,4,L,1,13,100,0
21634,KP,OEA,4,D,1,,,
21634,EC,PDA,1,L,1,14,100,9
21634,EC,PDA,1,D,1,14,100,0
21634,EC,PDA,2,L,1,7,20,0
21634,EC,PDA,2,D,1,,,
21634,EC,PDA,3,L,1,,,0
21634,EC,PDA,3,D,1,,,
21634,EC,PDA,4,L,1,,,0
21634,EC,PDA,4,D,1,15,75,0
21634,EC,MEA,1,L,1,14,,0
21634,EC,MEA,1,D,1,30,100,20
21634,EC,MEA,2,L,1,6,20,0
21634,EC,MEA,2,D,1,14,20,0
21634,EC,MEA,3,L,1,6,20,0
21634,EC,MEA,3,D,1,4,20,7
21634,EC,MEA,4,L,1,,,
21634,EC,MEA,4,D,1,7,50,0
21634,EC,WA,1,L,1,13,20,0
21634,EC,WA,1,D,1,,,0
21634,EC,WA,2,L,1,6,20,0
21634,EC,WA,2,D,1,15,80,0
21634,EC,WA,3,L,1,,,
21634,EC,WA,3,D,1,,,
21634,EC,CEA,1,L,1,14,,0
21634,EC,CEA,1,D,1,,,0
21634,EC,CEA,2,L,1,26,100,0
21634,EC,CEA,2,D,1,,,0
21634,EC,CEA,3,L,1,26,100,0
21634,EC,CEA,3,D,1,,,0
21634,EC,REA,1,L,1,6,20,0
21634,EC,REA,1,D,1,38,100,0
21634,EC,REA,2,L,1,15,,0
21634,EC,REA,2,D,1,14,,0
21634,EC,REA,3,L,1,15,,0
21634,EC,REA,3,D,1,14,,0
21634,EC,REA,4,L,1,15,100,0
21634,EC,REA,4,D,1,23,,0
21634,EC,OEA,1,L,1,14,,0
21634,EC,OEA,1,D,1,,,0
21634,EC,OEA,2,L,1,13,100,7
21634,EC,OEA,2,D,1,4,20,0
21634,EC,OEA,3,L,1,13,100,0
21634,EC,OEA,3,D,1,28,100,9
,,,,,,,,
16865,KP,PDA,1,L,1,15,20,12
16865,KP,PDA,1,D,1,15,20,12
16865,KP,PDA,2,L,1,23,20,14
16865,KP,PDA,2,D,1,23,20,14
16865,KP,PDA,3,L,1,,,15
16865,KP,PDA,3,D,1,,,
16865,KP,PDA,4,L,1,12,20,11
16865,KP,PDA,4,D,1,,,
16865,KP,PDA,4,L,2,12,20,11
16865,KP,PDA,5,D,1,,,
16865,KP,PDA,5,L,1,12,20,8
16865,KP,PDA,5,D,1,,,
16865,KP,PDA,5,L,2,12,20,9
16865,KP,MEA,1,L,1,15,13,20
16865,KP,MEA,1,D,1,15,14,20
16865,KP,MEA,2,L,1,15,0,20
16865,KP,MEA,2,D,1,,9,
16865,KP,WA,1,L,1,23,20,8
16865,KP,WA,1,D,1,15,20,8
16865,KP,WA,2,L,1,,,0
16865,KP,WA,2,D,1,28,,0
16865,KP,CEA,1,L,1,28,,21
16865,KP,CEA,1,D,1,24,20,12
16865,KP,REA,1,L,1,,,0
16865,KP,REA,1,D,1,15,20,7
16865,KP,REA,2,L,1,23,50,0
16865,KP,REA,2,D,1,,,0
16865,KP,OEA,1,L,1,15,20,0
16865,KP,OEA,1,D,1,15,20,0
16865,EC,PDA,1,L,1,,,19
16865,EC,PDA,1,D,1,23,20,10
16865,EC,PDA,2,L,1,23,20,18
16865,EC,PDA,2,D,1,15,20,19
16865,EC,PDA,3,L,1,15,20,15
16865,EC,PDA,3,D,1,,,
16865,EC,PDA,4,L,1,13,20,13
16865,EC,PDA,5,D,1,13,20,18
16865,EC,PDA,4,L,2,13,20,6
16865,EC,PDA,5,D,2,13,20,16
16865,EC,MEA,1,L,1,15,,0
16865,EC,MEA,1,D,1,,,0
16865,EC,WA,1,L,1,23,20,0
16865,EC,WA,1,D,1,15,20,0
16865,EC,WA,2,L,1,,,0
16865,EC,WA,2,D,1,28,,0
16865,EC,WA,3,L,1,,,0
16865,EC,CEA,1,L,1,28,,0
16865,EC,REA,1,L,1,,,0
16865,EC,REA,1,D,1,15,20,7
16865,EC,REA,2,L,1,23,50,0
16865,EC,REA,2,D,1,,,0
16865,EC,OEA,1,L,1,15,20,8
16865,EC,OEA,1,D,1,12,20,8
16865,EC,OEA,2,L,1,,,
16865,EC,OEA,2,D,1,23,,8
