ICMP,TestedAgainst,Media,BioRep,Condition,TechRep,DaysOld,Size,ZOISize
16972,KP,PDA,1,L,1,8,,0
16972,KP,PDA,1,D,1,8,,7
16972,KP,PDA,2,L,1,26,100,0
16972,KP,PDA,2,D,1,26,100,0
16972,KP,PDA,3,L,1,16,50,0
16972,KP,PDA,3,D,1,6,20,0
16972,KP,PDA,4,L,1,13,50,0
16972,KP,PDA,4,D,1,4,20,0
16972,KP,MEA,1,L,1,12,50,0
16972,KP,MEA,1,D,1,4,20,0
16972,KP,MEA,2,L,1,8,,0
16972,KP,MEA,2,D,1,26,100,0
16972,KP,MEA,3,L,1,12,50,0
16972,KP,MEA,3,D,1,,,
16972,KP,MEA,4,L,1,9,20,0
16972,KP,MEA,4,D,1,,,
16972,KP,MEA,5,L,1,6,20,0
16972,KP,MEA,5,D,1,,,
16972,KP,WA,1,L,1,7,20,0
16972,KP,WA,1,D,1,,,0
16972,KP,WA,2,L,1,7,20,9
16972,KP,WA,2,D,1,14,,8
16972,KP,WA,3,L,1,22,,11
16972,KP,WA,3,D,1,36,,15
16972,KP,WA,4,L,1,,100,
16972,KP,WA,4,D,1,21,,10
16972,KP,WA,5,L,1,,,
16972,KP,WA,5,D,1,30,,8
16972,KP,CEA,1,L,1,8,,12
16972,KP,CEA,1,D,1,8,,12
16972,KP,CEA,2,L,1,6,20,0
16972,KP,CEA,2,D,1,14,,8
16972,KP,CEA,3,L,1,,,
16972,KP,CEA,3,D,1,,,0
16972,KP,REA,1,L,1,,,0
16972,KP,REA,1,D,1,,,0
16972,KP,REA,2,L,1,9,100,12
16972,KP,REA,2,D,1,14,,11
16972,KP,REA,3,L,1,6,50,10
16972,KP,REA,3,D,1,36,100,15
16972,KP,REA,4,L,1,15,,8
16972,KP,REA,4,D,1,10,50,13
16972,KP,REA,5,L,1,,,
16972,KP,REA,5,D,1,23,,7
16972,KP,REA,6,L,1,,,
16972,KP,REA,6,D,1,14,100,0
16972,KP,REA,7,L,1,,,
16972,KP,REA,7,D,1,14,100,0
16972,KP,OEA,1,L,1,13,100,14
16972,KP,OEA,1,D,1,14,50,0
16972,KP,OEA,2,L,1,19,100,10
16972,KP,OEA,2,D,1,,,
16972,KP,OEA,3,L,1,,,
16972,KP,OEA,3,D,1,,,
16972,EC,PDA,1,L,1,26,50,10
16972,EC,PDA,1,D,1,14,100,7
16972,EC,PDA,2,L,1,16,20,0
16972,EC,PDA,2,D,1,26,20,9
16972,EC,PDA,3,L,1,6,50,0
16972,EC,PDA,3,D,1,6,,0
16972,EC,PDA,4,,,13,,0
16972,EC,PDA,4,,,14,20,10
16972,EC,PDA,5,,,,50,
16972,EC,PDA,5,,,4,,0
16972,EC,MEA,1,L,1,12,50,0
16972,EC,MEA,1,D,1,14,100,7
16972,EC,MEA,2,L,1,12,20,0
16972,EC,MEA,2,D,1,26,20,9
16972,EC,MEA,3,L,1,9,20,0
16972,EC,MEA,3,D,1,4,,0
16972,EC,MEA,4,L,1,6,20,0
16972,EC,MEA,4,D,1,61,,0
16972,EC,WA,1,L,1,7,,0
16972,EC,WA,1,D,1,23,,0
16972,EC,WA,2,L,1,15,,0
16972,EC,WA,2,D,1,14,,0
16972,EC,WA,3,L,1,,,
16972,EC,WA,3,D,1,,,
16972,EC,CEA,1,L,1,24,20,0
16972,EC,CEA,1,D,1,,,0
16972,EC,CEA,2,L,1,6,,0
16972,EC,CEA,2,D,1,,,0
16972,EC,CEA,3,L,1,,100,
16972,EC,CEA,3,D,1,,100,
16972,EC,REA,1,L,1,9,,0
16972,EC,REA,1,D,1,36,,0
16972,EC,REA,2,L,1,,50,8
16972,EC,REA,2,D,1,,,0
16972,EC,REA,3,L,1,6,,0
16972,EC,REA,3,D,1,,,
16972,EC,REA,4,L,1,,100,
16972,EC,REA,4,D,1,,,
16972,EC,OEA,1,L,1,13,100,0
16972,EC,OEA,1,D,1,24,,0
16972,EC,OEA,2,L,1,19,,8
16972,EC,OEA,2,D,1,,,7
16972,EC,OEA,3,L,1,,,
16972,EC,OEA,3,D,1,,,
,,,,,,,,
17492,KP,PDA,1,L,1,,,0
17492,KP,PDA,1,D,1,,,0
17492,KP,PDA,2,L,1,12,,0
17492,KP,PDA,2,D,1,12,,0
17492,KP,PDA,3,L,1,6,20,0
17492,KP,PDA,3,D,1,,,0
17492,KP,PDA,4,L,1,15,,0
17492,KP,PDA,4,D,1,14,,7
17492,KP,MEA,1,L,1,22,,0
17492,KP,MEA,1,D,1,11,,0
17492,KP,MEA,2,L,1,6,20,0
17492,KP,MEA,2,D,1,26,100,0
17492,KP,MEA,3,L,1,,,0
17492,KP,MEA,3,D,1,,,0
17492,KP,MEA,4,L,1,8,75,7
17492,KP,MEA,4,D,1,7,50,8
17492,KP,WA,1,L,1,,,0
17492,KP,WA,1,D,1,,,0
17492,KP,WA,2,L,1,22,,0
17492,KP,WA,2,D,1,22,,0
17492,KP,WA,3,L,1,36,50,9
17492,KP,WA,3,D,1,36,50,11
17492,KP,WA,4,L,1,36,50,11
17492,KP,WA,4,D,1,,,
17492,KP,WA,5,L,1,36,50,0
17492,KP,WA,5,D,1,,,
17492,KP,CEA,1,L,1,10,,12
17492,KP,CEA,1,D,1,10,,8
17492,KP,CEA,2,L,1,22,,8
17492,KP,CEA,2,D,1,22,,8
17492,KP,CEA,3,L,1,9,20,11
17492,KP,CEA,3,D,1,10,20,14
17492,KP,CEA,4,L,1,41,100,7
17492,KP,CEA,4,D,1,23,,7
17492,KP,REA,1,L,1,,,0
17492,KP,REA,1,D,1,,,0
17492,KP,REA,2,L,1,22,,0
17492,KP,REA,2,D,1,,,0
17492,KP,REA,3,L,1,8,50,8
17492,KP,REA,3,D,1,36,100,7
17492,KP,REA,4,L,1,6,20,0
17492,KP,REA,4,D,1,4,20,10
17492,KP,REA,5,L,1,15,,0
17492,KP,REA,5,D,1,14,,7
17492,KP,REA,6,L,1,,,
17492,KP,REA,6,D,1,14,,7
17492,KP,REA,7,L,1,,,
17492,KP,REA,7,D,1,7,50,0
17492,KP,OEA,1,L,1,,,0
17492,KP,OEA,1,D,1,14,50,0
17492,KP,OEA,2,L,1,12,,0
17492,KP,OEA,2,D,1,22,,0
17492,KP,OEA,3,L,1,36,100,10
17492,KP,OEA,3,D,1,,,0
17492,KP,OEA,4,L,1,6,20,0
17492,KP,OEA,4,D,1,,,10
17492,KP,OEA,5,L,1,8,50,6
17492,KP,OEA,5,D,1,8,50,11
17492,EC,PDA,1,L,1,14,,8
17492,EC,PDA,1,D,1,14,,7
17492,EC,PDA,2,L,1,5,20,0
17492,EC,PDA,2,D,1,26,100,0
17492,EC,PDA,3,L,1,6,20,0
17492,EC,PDA,3,D,1,14,,0
17492,EC,PDA,4,L,1,15,,0
17492,EC,PDA,4,D,1,,,
17492,EC,MEA,1,L,1,24,,0
17492,EC,MEA,1,D,1,14,,0
17492,EC,MEA,2,L,1,6,20,20
17492,EC,MEA,2,D,1,26,100,0
17492,EC,MEA,3,L,1,15,,0
17492,EC,MEA,3,D,1,7,50,0
17492,EC,MEA,4,L,1,8,75,0
17492,EC,MEA,4,D,1,,,
17492,EC,WA,1,L,1,15,,0
17492,EC,WA,1,D,1,,,0
17492,EC,WA,2,L,1,15,,0
17492,EC,WA,2,D,1,14,,0
17492,EC,WA,3,L,1,36,50,0
17492,EC,WA,3,D,1,,,
17492,EC,WA,4,L,1,36,50,0
17492,EC,WA,4,D,1,,,
17492,EC,CEA,1,L,1,24,,0
17492,EC,CEA,1,D,1,24,,0
17492,EC,CEA,2,L,1,9,20,0
17492,EC,CEA,2,D,1,,,
17492,EC,CEA,3,L,1,36,,0
17492,EC,CEA,3,D,1,,,
