ICMP,Phylum,TestedAgainst,Strain,Media,BioRep,Condition,TechRep,DaysOld,Size,ZOISize,Neg _control,
16972,Basidiomycete,KP,70063,PDA,1,L,1,8,,0,,
16972,Basidiomycete,KP,70063,PDA,1,D,1,8,,7,,
16972,Basidiomycete,KP,70063,PDA,2,L,1,26,100,0,,
16972,Basidiomycete,KP,70063,PDA,2,D,1,26,100,0,,
16972,Basidiomycete,KP,70063,PDA,3,L,1,16,50,0,,
16972,Basidiomycete,KP,70063,PDA,3,D,1,6,20,0,,
16972,Basidiomycete,KP,70063,PDA,4,L,1,13,50,0,,
16972,Basidiomycete,KP,70063,PDA,4,D,1,4,20,0,,
16972,Basidiomycete,KP,70063,MEA,1,L,1,12,50,0,,
16972,Basidiomycete,KP,70063,MEA,1,D,1,4,20,0,,
16972,Basidiomycete,KP,70063,MEA,2,L,1,8,,0,,
16972,Basidiomycete,KP,70063,MEA,2,D,1,26,100,0,,
16972,Basidiomycete,KP,70063,MEA,3,L,1,12,50,0,,
16972,Basidiomycete,KP,70063,MEA,4,L,1,9,20,0,,
16972,Basidiomycete,KP,70063,MEA,5,L,1,6,20,0,,
16972,Basidiomycete,KP,70063,WA,1,L,1,7,20,0,,
16972,Basidiomycete,KP,70063,WA,1,D,1,,,0,,
16972,Basidiomycete,KP,70063,WA,2,L,1,7,20,9,,                                                                                                                                                                                                                                                                                                                                                
16972,Basidiomycete,KP,70063,WA,2,D,1,14,,8,,
16972,Basidiomycete,KP,70063,WA,3,L,1,22,,11,,
16972,Basidiomycete,KP,70063,WA,3,D,1,36,,15,,
16972,Basidiomycete,KP,70063,WA,4,D,1,21,,10,,
16972,Basidiomycete,KP,70063,WA,5,D,1,30,,8,,
16972,Basidiomycete,KP,70063,CEA,1,L,1,8,,12,,
16972,Basidiomycete,KP,70063,CEA,1,D,1,8,,12,,
16972,Basidiomycete,KP,70063,CEA,2,L,1,6,20,0,,
16972,Basidiomycete,KP,70063,CEA,2,D,1,14,,8,,
16972,Basidiomycete,KP,70063,CEA,3,D,1,,,0,,
16972,Basidiomycete,KP,70063,REA,1,L,1,,,0,,
16972,Basidiomycete,KP,70063,REA,1,D,1,,,0,,
16972,Basidiomycete,KP,70063,REA,2,L,1,9,100,12,,
16972,Basidiomycete,KP,70063,REA,2,D,1,14,,11,,
16972,Basidiomycete,KP,70063,REA,3,L,1,6,50,10,,
16972,Basidiomycete,KP,70063,REA,3,D,1,36,100,15,,
16972,Basidiomycete,KP,70063,REA,4,L,1,15,,8,,
16972,Basidiomycete,KP,70063,REA,4,D,1,10,50,13,,
16972,Basidiomycete,KP,70063,REA,5,D,1,23,,7,,
16972,Basidiomycete,KP,70063,REA,6,D,1,14,100,0,,
16972,Basidiomycete,KP,70063,REA,7,D,1,14,100,0,,
16972,Basidiomycete,KP,70063,OEA,1,L,1,13,100,14,,
16972,Basidiomycete,KP,70063,OEA,1,D,1,14,50,0,,
16972,Basidiomycete,KP,70063,OEA,2,L,1,19,100,10,,
16972,Basidiomycete,EC,25922L,PDA,1,L,1,26,50,10,,
16972,Basidiomycete,EC,25922L,PDA,1,D,1,14,100,7,,
16972,Basidiomycete,EC,25922L,PDA,2,L,1,16,20,0,,
16972,Basidiomycete,EC,25922L,PDA,2,D,1,26,20,9,,
16972,Basidiomycete,EC,25922L,PDA,3,L,1,6,50,0,,
16972,Basidiomycete,EC,25922L,PDA,3,D,1,6,,0,,
16972,Basidiomycete,EC,25922L,PDA,4,L,,13,,0,,
16972,Basidiomycete,EC,25922L,PDA,4,D,,14,20,10,,
16972,Basidiomycete,EC,25922L,PDA,5,L,,4,,0,,
16972,Basidiomycete,EC,25922L,MEA,1,L,1,12,50,0,,
16972,Basidiomycete,EC,25922L,MEA,1,D,1,14,100,7,,
16972,Basidiomycete,EC,25922L,MEA,2,L,1,12,20,0,,
16972,Basidiomycete,EC,25922L,MEA,2,D,1,26,20,9,,
16972,Basidiomycete,EC,25922L,MEA,3,L,1,9,20,0,,
16972,Basidiomycete,EC,25922L,MEA,3,D,1,4,,0,,
